Employee_ID,Department,Experience_Years,Monthly_Salary,Attendance_Percentage,Performance_Score,Training_Hours,Satisfaction_Score,Overtime_Hours,Work_Mode,Attrition_Status
EMP1001,Finance,7,76224,94,2.9,12,5,24,WFH,No
EMP1002,Finance,9,139693,97,3.8,24,7,6,Hybrid,No,1,Check Empty Cells
EMP1003,Marketing,4,59509,87,4.7,11,5,14,Office,Yes,2,Remove Duplicate Data
EMP1004,Marketing,6,40437,97,3.8,29,4,15,Hybrid,No,3,Proper Column Format Department column 
EMP1005,Sales,9,30499,88,3.0,22,4,14,Office,No,4,Filter Apply
EMP1006,Marketing,8,38363,86,2.8,27,5,23,Hybrid,No,5,Check Outliers 
EMP1007,It,9,131546,80,2.6,5,5,15,Office,No,6,conditional formating,Monthly salary ,>100000
EMP1008,Hr,15,55880,95,2.7,14,8,0,Hybrid,No,,,,
EMP1009,Marketing,7,48159,100,4.9,25,5,14,Hybrid,No,,,,
EMP1010,It,6,136094,90,4.8,9,9,22,Office,No,,,,
EMP1011,It,10,98516,78,2.7,9,6,5,WFH,No,,,,
EMP1012,It,15,118526,85,4.4,30,5,8,WFH,No,,,,
EMP1013,Sales,3,74454,77,3.8,5,8,1,Hybrid,No,,,,
EMP1014,Finance,6,102351,87,3.5,16,8,2,WFH,No,,,,
EMP1015,Sales,12,86173,87,4.4,12,6,20,WFH,No,,,,
EMP1016,Sales,2,87293,97,4.3,11,10,25,Office,No,,,,
EMP1017,It,7,83846,89,4.4,7,7,13,Hybrid,Yes,,,,
EMP1018,Sales,15,74879,85,4.5,22,5,8,Hybrid,No,,,,
EMP1019,Finance,11,130085,80,3.2,26,9,19,Office,No,,,,
EMP1020,Finance,4,99784,85,4.7,16,4,21,Hybrid,No,,,,
EMP1021,It,15,132164,96,2.9,25,6,21,Hybrid,No,,,,
EMP1022,It,7,90290,96,3.5,8,8,17,WFH,Yes,,,,
EMP1023,Sales,11,78991,80,3.8,30,7,6,Hybrid,No,,,,
EMP1024,Finance,8,123449,91,4.1,29,9,24,Office,No,,,,
EMP1025,It,12,47702,78,4.5,7,8,1,WFH,No,,,,
EMP1026,Sales,9,71051,97,4.0,14,5,24,WFH,No,,,,
EMP1027,Finance,7,72577,83,3.7,9,5,14,Office,No,,,,
EMP1028,Finance,9,143722,80,3.4,11,6,14,Office,No,,,,
